Run,RT,Male,Female,None,Pct
642,29,19,6,4,0.7600
643,31,22,6,3,0.7857
644,26,12,9,5,0.5714
645,25,13,2,10,0.8667
646,25,13,8,4,0.6190
647,22,13,5,4,0.7222
648,26,16,7,3,0.6957
649,19,11,7,1,0.6111
650,29,15,8,6,0.6522
651,24,11,9,4,0.5500
652,33,15,6,12,0.7143
653,24,19,3,2,0.8636
654,17,7,8,2,0.4667
655,27,14,4,9,0.7778
656,14,10,3,1,0.7692
657,21,11,3,7,0.7857
658,27,17,6,4,0.7391
659,35,18,13,4,0.5806
660,24,13,8,3,0.6190
661,33,22,6,5,0.7857
662,26,12,5,9,0.7059
663,26,16,8,2,0.6667
664,23,11,10,2,0.5238
665,29,20,4,5,0.8333
666,22,14,4,4,0.7778
667,32,20,6,6,0.7692
668,26,21,2,3,0.9130
669,28,13,5,10,0.7222
670,23,12,6,5,0.6667
671,19,12,4,3,0.7500
672,21,9,7,5,0.5625
673,29,17,7,5,0.7083
674,22,12,4,6,0.7500
675,22,14,5,3,0.7368
676,26,18,3,5,0.8571
677,25,18,4,3,0.8182
678,22,11,8,3,0.5789
679,26,13,6,7,0.6842
680,32,16,11,5,0.5926
681,34,21,6,7,0.7778
682,28,18,6,4,0.7500
683,24,15,2,7,0.8824
684,27,14,9,4,0.6087
685,21,8,6,7,0.5714
686,25,16,5,4,0.7619
687,26,11,8,7,0.5789
688,23,11,8,4,0.5789
689,23,13,7,3,0.6500
690,26,14,7,5,0.6667
691,26,14,7,5,0.6667
692,22,14,4,4,0.7778
693,26,12,11,3,0.5217
694,19,9,7,3,0.5625
695,20,9,8,3,0.5294
696,23,13,5,5,0.7222
697,27,14,7,6,0.6667
698,16,10,4,2,0.7143
699,30,21,8,1,0.7241
700,29,20,5,4,0.8000
701,27,19,3,5,0.8636
702,30,18,8,4,0.6923
703,27,16,5,6,0.7619
704,28,12,6,10,0.6667
705,29,18,7,4,0.7200
706,17,7,5,5,0.5833
707,16,8,5,3,0.6154
708,21,11,7,3,0.6111
709,27,17,5,5,0.7727
710,22,10,5,7,0.6667
711,24,15,8,1,0.6522
712,24,11,5,8,0.6875
713,25,16,5,4,0.7619
714,26,11,9,6,0.5500
715,28,9,13,6,0.4091
716,26,15,5,6,0.7500
717,18,10,3,5,0.7692
718,20,13,4,3,0.7647
719,29,21,4,4,0.8400
720,29,11,9,9,0.5500
721,29,24,3,2,0.8889
722,21,14,4,3,0.7778
723,24,11,7,6,0.6111
724,19,10,5,4,0.6667
725,38,23,7,8,0.7667
726,22,12,5,5,0.7059
727,24,12,4,8,0.7500
728,26,14,6,6,0.7000
729,25,16,5,4,0.7619
730,26,14,8,4,0.6364
731,24,10,10,4,0.5000
732,26,14,9,3,0.6087
733,21,13,4,4,0.7647
734,20,10,4,6,0.7143
735,28,14,5,9,0.7368
736,22,12,6,4,0.6667
737,16,8,4,4,0.6667
738,23,10,8,5,0.5556
739,24,17,6,1,0.7391
740,18,7,4,7,0.6364
741,29,19,7,3,0.7308
742,25,14,6,5,0.7000
743,23,11,6,6,0.6471
744,28,10,9,9,0.5263
745,21,7,9,5,0.4375
746,20,13,3,4,0.8125
747,27,17,9,1,0.6538
748,24,14,4,6,0.7778
749,31,16,8,7,0.6667
750,26,17,7,2,0.7083
751,23,12,6,5,0.6667
752,25,18,5,2,0.7826
753,24,21,1,2,0.9545
754,24,13,4,7,0.7647
755,21,10,5,6,0.6667
756,22,11,6,5,0.6471
757,28,15,7,6,0.6818
758,24,11,11,2,0.5000
759,24,14,6,4,0.7000
760,24,13,7,4,0.6500
761,28,17,4,7,0.8095
762,23,12,7,4,0.6316
763,19,10,4,5,0.7143
764,28,17,7,4,0.7083
765,26,15,6,5,0.7143
