Num,RT,Male,Female,None,Pct
49200,13250,7447,3572,2231,0.6758
49300,13284,7464,3585,2235,0.6755
49400,13311,7476,3594,2241,0.6753
49500,13336,7486,3601,2249,0.6752
49600,13362,7502,3605,2255,0.6754
49700,13385,7508,3609,2268,0.6754
49800,13403,7515,3614,2274,0.6753
49900,13433,7536,3619,2278,0.6756
50000,13454,7544,3622,2288,0.6756
50100,13487,7559,3630,2298,0.6756
50200,13515,7573,3634,2308,0.6757
50300,13531,7580,3640,2311,0.6756
50400,13555,7591,3647,2317,0.6755
50500,13583,7604,3652,2327,0.6756
50600,13609,7614,3659,2336,0.6754
50700,13635,7629,3663,2343,0.6756
50800,13658,7638,3667,2353,0.6756
50900,13688,7653,3674,2361,0.6756
51000,13699,7657,3675,2367,0.6757
51100,13720,7664,3684,2372,0.6754
51200,13734,7670,3687,2377,0.6754
51300,13750,7676,3691,2383,0.6753
51400,13766,7684,3694,2388,0.6753
51500,13787,7692,3701,2394,0.6752
51600,13805,7700,3705,2400,0.6751
51700,13817,7703,3708,2406,0.6751
51800,13840,7708,3714,2418,0.6748
51900,13868,7716,3717,2435,0.6749
52000,13896,7728,3720,2448,0.6751
52100,13926,7741,3726,2459,0.6751
52200,13955,7753,3734,2468,0.6749
52300,13983,7769,3738,2476,0.6752
52400,14001,7776,3746,2479,0.6749
52500,14017,7785,3751,2481,0.6748
52600,14044,7800,3760,2484,0.6747
52700,14070,7819,3762,2489,0.6752
52800,14119,7845,3771,2503,0.6754
52900,14151,7866,3774,2511,0.6758
53000,14177,7885,3777,2515,0.6761
53100,14211,7908,3785,2518,0.6763
53200,14239,7923,3792,2524,0.6763
53300,14260,7935,3798,2527,0.6763
53400,14283,7943,3806,2534,0.6761
53500,14307,7953,3817,2537,0.6757
53600,14342,7974,3825,2543,0.6758
53700,14363,7988,3829,2546,0.6760
53800,14402,8005,3837,2560,0.6760
53900,14428,8022,3844,2562,0.6760
54000,14467,8049,3851,2567,0.6764
54100,14498,8070,3858,2570,0.6766
54200,14532,8093,3863,2576,0.6769
54300,14560,8109,3868,2583,0.6770
54400,14586,8126,3870,2590,0.6774
54500,14609,8141,3875,2593,0.6775
54600,14641,8167,3879,2595,0.6780
54700,14656,8175,3884,2597,0.6779
